"X.","Team","Team.1","M.","W","D","L","goals","Dif","Pt.","X1"
"27",27,NA,"CD Alavés",559,177,121,261,"628:888",-260,652,"Latest news »"
"28",28,NA,"Levante UD",580,161,149,270,"654:917",-263,632,"Latest news »"
"29",29,NA,"CD Tenerife",494,155,128,211,"619:744",-125,593,"Latest news »"
"30",30,NA,"Real Murcia",586,145,143,298,"607:992",-385,578,"Latest news »"
"31",31,NA,"Cádiz CF",510,118,148,244,"448:757",-309,502,"Latest news »"
"32",32,NA,"CE Sabadell",426,129,95,202,"492:720",-228,482,"Latest news »"
"33",33,NA,"UD Salamanca",424,124,102,198,"425:581",-156,474,"Latest news »"
"34",34,NA,"CD Castellón",334,103,79,152,"419:588",-169,388,"Latest news »"
"35",35,NA,"CD Logroñés",346,96,92,158,"291:489",-198,380,"Latest news »"
"36",36,NA,"Burgos CF",318,85,94,139,"317:449",-132,349,"Latest news »"
"37",37,NA,"Córdoba CF",282,82,63,137,"285:430",-145,309,"Latest news »"
"38",38,NA,"Albacete",270,76,76,118,"320:410",-90,304,"Latest news »"
"39",39,NA,"SD Eibar",266,77,71,118,"297:375",-78,302,"Latest news »"
"40",40,NA,"UD Almería",228,62,56,110,"244:366",-122,242,"Latest news »"
"41",41,NA,"Pontevedra CF",180,53,44,83,"165:221",-56,203,"Latest news »"
"42",42,NA,"SD Compostela",160,52,45,63,"199:241",-42,201,"Latest news »"
"43",43,NA,"Recreativo Huelva",186,50,46,90,"202:296",-94,196,"Latest news »"
"44",44,NA,"CD Leganés",152,39,42,71,"137:200",-63,159,"Latest news »"
"45",45,NA,"Arenas de Getxo",130,43,21,66,"227:308",-81,150,"Latest news »"
"46",46,NA,"CD Numancia",152,37,37,78,"155:253",-98,148,"Latest news »"
"47",47,NA,"Gimnàstic",116,34,16,66,"181:295",-114,118,"Latest news »"
"48",48,NA,"CD Alcoyano",108,30,16,62,"145:252",-107,106,"Latest news »"
"49",49,NA,"Real Jaén",90,29,13,48,"121:183",-62,100,"Latest news »"
